Away,Home,Away_Score,Home_Score,Date
Florida State,Georgia Tech,21,24,2024-08-24
Montana State,New Mexico,35,31,2024-08-24
SMU,Nevada,29,24,2024-08-24
Delaware State,Hawai'i,14,35,2024-08-24
Murray State,Missouri,0,51,2024-08-29
Southern Utah,Utah,0,49,2024-08-29
Lindenwood,Kansas,3,48,2024-08-29
Western Carolina,NC State,21,38,2024-08-29
Howard,Rutgers,7,44,2024-08-29
North Carolina A&T,Wake Forest,13,45,2024-08-29
New Hampshire,UCF,3,57,2024-08-29
Lafayette,Buffalo,13,30,2024-08-29
Fordham,Bowling Green,17,41,2024-08-29
Central Connecticut,Central Michigan,10,66,2024-08-29
Arkansas-Pine Bluff,Arkansas,0,70,2024-08-29
Duquesne,Toledo,10,49,2024-08-29
North Dakota State,Colorado,26,31,2024-08-29
Coastal Carolina,Jacksonville State,55,27,2024-08-29
Alcorn State,UAB,3,41,2024-08-29
SE Louisiana,Tulane,0,52,2024-08-29
Northwestern State,Tulsa,28,62,2024-08-29
North Carolina,Minnesota,19,17,2024-08-29
Jackson State,UL Monroe,14,30,2024-08-29
Eastern Illinois,Illinois,0,45,2024-08-29
Sacramento State,San José State,24,42,2024-08-29
Temple,Oklahoma,3,51,2024-08-30
Lehigh,Army,7,42,2024-08-30
Florida Atlantic,Michigan State,10,16,2024-08-30
Elon,Duke,3,26,2024-08-30
Western Michigan,Wisconsin,14,28,2024-08-30
TCU,Stanford,34,27,2024-08-30
Clemson,Georgia,3,34,2024-08-31
Akron,Ohio State,6,52,2024-08-31
Idaho,Oregon,14,24,2024-08-31
Colorado State,Texas,0,52,2024-08-31
Western Kentucky,Alabama,0,63,2024-08-31
Furman,Ole Miss,0,76,2024-08-31
Notre Dame,Texas A&M,23,13,2024-08-31
Penn State,West Virginia,34,12,2024-08-31
Fresno State,Michigan,10,30,2024-08-31
Chattanooga,Tennessee,3,69,2024-08-31
South Dakota State,Oklahoma State,20,44,2024-08-31
UT Martin,Kansas State,6,41,2024-08-31
Miami,Florida,41,17,2024-08-31
New Mexico,Arizona,39,61,2024-08-31
Illinois State,Iowa,0,40,2024-08-31
Virginia Tech,Vanderbilt,27,34,2024-08-31
UConn,Maryland,7,50,2024-08-31
Austin Peay,Louisville,0,62,2024-08-31
Indiana State,Purdue,0,49,2024-08-31
Kent State,Pittsburgh,24,55,2024-08-31
Bucknell,Navy,21,49,2024-08-31
Towson,Cincinnati,20,38,2024-08-31
Portland State,Washington State,30,70,2024-08-31
Florida International,Indiana,7,31,2024-08-31
UTEP,Nebraska,7,40,2024-08-31
Eastern Michigan,Massachusetts,28,14,2024-08-31
East Tennessee State,App State,10,38,2024-08-31
North Dakota,Iowa State,3,21,2024-08-31
Ohio,Syracuse,22,38,2024-08-31
Kennesaw State,UTSA,16,28,2024-08-31
Merrimack,Air Force,6,21,2024-08-31
Miami (OH),Northwestern,6,13,2024-08-31
Western Illinois,Northern Illinois,15,54,2024-08-31
Boise State,Georgia Southern,56,45,2024-08-31
Old Dominion,South Carolina,19,23,2024-08-31
Stony Brook,Marshall,3,45,2024-08-31
UC Davis,California,13,31,2024-08-31
North Texas,South Alabama,52,38,2024-08-31
Eastern Kentucky,Mississippi State,7,56,2024-08-31
Campbell,Liberty,24,41,2024-08-31
Richmond,Virginia,13,34,2024-08-31
Norfolk State,East Carolina,3,42,2024-08-31
Idaho State,Oregon State,15,38,2024-08-31
Central Arkansas,Arkansas State,31,34,2024-08-31
Bethune-Cookman,South Florida,3,48,2024-08-31
Tarleton State,Baylor,3,45,2024-08-31
UNLV,Houston,27,7,2024-08-31
Tennessee Tech,Middle Tennessee,25,32,2024-08-31
Sam Houston,Rice,34,14,2024-08-31
Nevada,Troy,28,26,2024-08-31
North Alabama,Memphis,0,40,2024-08-31
Alabama A&M,Auburn,3,73,2024-08-31
UCLA,Hawai'i,16,13,2024-08-31
Abilene Christian,Texas Tech,51,52,2024-08-31
Southern Miss,Kentucky,0,31,2024-08-31
Southern Illinois,BYU,13,41,2024-08-31
Georgia State,Georgia Tech,12,35,2024-08-31
Houston Christian,SMU,7,59,2024-08-31
Grambling,Louisiana,10,40,2024-08-31
Nicholls,Louisiana Tech,17,25,2024-08-31
East Texas A&M,San Diego State,14,45,2024-08-31
Robert Morris,Utah State,14,36,2024-08-31
James Madison,Charlotte,30,7,2024-08-31
Lamar,Texas State,27,34,2024-08-31
Southeast Missouri State,New Mexico State,16,23,2024-08-31
Wyoming,Arizona State,7,48,2024-08-31
Weber State,Washington,3,35,2024-08-31
USC,LSU,27,20,2024-09-01
Boston College,Florida State,28,13,2024-09-02
Western Illinois,Indiana,3,77,2024-09-06
BYU,SMU,18,15,2024-09-06
Duke,Northwestern,26,20,2024-09-06
Tennessee Tech,Georgia,3,48,2024-09-07
Western Michigan,Ohio State,0,56,2024-09-07
Texas,Michigan,31,12,2024-09-07
South Florida,Alabama,16,42,2024-09-07
Northern Illinois,Notre Dame,16,14,2024-09-07
Middle Tennessee,Ole Miss,3,52,2024-09-07
Boise State,Oregon,34,37,2024-09-07
Bowling Green,Penn State,27,34,2024-09-07
Buffalo,Missouri,0,38,2024-09-07
Baylor,Utah,12,23,2024-09-07
Florida A&M,Miami,9,56,2024-09-07
Utah State,USC,0,48,2024-09-07
Tennessee,NC State,51,10,2024-09-07
Houston,Oklahoma,12,16,2024-09-07
Arkansas,Oklahoma State,31,39,2024-09-07
Kansas State,Tulane,34,27,2024-09-07
Nicholls,LSU,21,44,2024-09-07
Kansas,Illinois,17,23,2024-09-07
Northern Arizona,Arizona,10,22,2024-09-07
Iowa State,Iowa,20,19,2024-09-07
Jacksonville State,Louisville,14,49,2024-09-07
Georgia Tech,Syracuse,28,31,2024-09-07
App State,Clemson,20,66,2024-09-07
Rhode Island,Minnesota,0,48,2024-09-07
Akron,Rutgers,17,49,2024-09-07
Pittsburgh,Cincinnati,28,27,2024-09-07
Merrimack,UConn,17,63,2024-09-07
Troy,Memphis,17,38,2024-09-07
Army,Florida Atlantic,24,7,2024-09-07
McNeese,Texas A&M,10,52,2024-09-07
Missouri State,Ball State,34,42,2024-09-07
St. Francis (PA),Kent State,23,17,2024-09-07
Utah Tech,UNLV,14,72,2024-09-07
California,Auburn,21,14,2024-09-07
South Carolina,Kentucky,31,6,2024-09-07
Michigan State,Maryland,27,24,2024-09-07
Eastern Michigan,Washington,9,30,2024-09-07
South Dakota,Wisconsin,13,27,2024-09-07
Massachusetts,Toledo,23,38,2024-09-07
Duquesne,Boston College,0,56,2024-09-07
Charlotte,North Carolina,20,38,2024-09-07
Idaho,Wyoming,17,13,2024-09-07
Temple,Navy,11,38,2024-09-07
UTSA,Texas State,10,49,2024-09-07
Marshall,Virginia Tech,14,31,2024-09-07
UAlbany,West Virginia,14,49,2024-09-07
Central Michigan,Florida International,16,52,2024-09-07
Gardner-Webb,James Madison,6,13,2024-09-07
East Carolina,Old Dominion,20,14,2024-09-07
South Alabama,Ohio,20,27,2024-09-07
Samford,Florida,7,45,2024-09-07
William & Mary,Coastal Carolina,21,40,2024-09-07
Eastern Kentucky,Western Kentucky,0,31,2024-09-07
Chattanooga,Georgia State,21,24,2024-09-07
Cal Poly,Stanford,7,41,2024-09-07
Virginia,Wake Forest,31,30,2024-09-07
Louisiana,Kennesaw State,34,10,2024-09-07
San José State,Air Force,17,7,2024-09-07
Northern Colorado,Colorado State,17,38,2024-09-07
Georgia Southern,Nevada,20,17,2024-09-07
Tulsa,Arkansas State,24,28,2024-09-07
UAB,UL Monroe,6,32,2024-09-07
SE Louisiana,Southern Miss,10,35,2024-09-07
Texas Southern,Rice,7,69,2024-09-07
Sam Houston,UCF,14,45,2024-09-07
Alcorn State,Vanderbilt,0,55,2024-09-07
Colorado,Nebraska,10,28,2024-09-07
Stephen F. Austin,North Texas,20,35,2024-09-07
Long Island University,TCU,0,45,2024-09-07
Southern Utah,UTEP,27,24,2024-09-07
Texas Tech,Washington State,16,37,2024-09-07
Sacramento State,Fresno State,30,46,2024-09-07
Liberty,New Mexico State,30,24,2024-09-07
Mississippi State,Arizona State,23,30,2024-09-07
Oregon State,San Diego State,21,0,2024-09-07
Arizona State,Texas State,31,28,2024-09-12
Northwestern State,South Alabama,10,87,2024-09-12
Arizona,Kansas State,7,31,2024-09-13
UNLV,Kansas,23,20,2024-09-13
Georgia,Kentucky,13,12,2024-09-14
UTSA,Texas,7,56,2024-09-14
Alabama,Wisconsin,42,10,2024-09-14
Ole Miss,Wake Forest,40,6,2024-09-14
Boston College,Missouri,21,27,2024-09-14
Kent State,Tennessee,0,71,2024-09-14
Oregon,Oregon State,49,14,2024-09-14
Ball State,Miami,0,62,2024-09-14
Utah,Utah State,38,21,2024-09-14
Oklahoma State,Tulsa,45,10,2024-09-14
Tulane,Oklahoma,19,34,2024-09-14
LSU,South Carolina,36,33,2024-09-14
Arkansas State,Michigan,18,28,2024-09-14
Notre Dame,Purdue,66,7,2024-09-14
Northern Iowa,Nebraska,3,34,2024-09-14
Central Michigan,Illinois,9,30,2024-09-14
Memphis,Florida State,20,12,2024-09-14
Louisiana Tech,NC State,20,30,2024-09-14
Cincinnati,Miami (OH),27,16,2024-09-14
North Texas,Texas Tech,21,66,2024-09-14
Massachusetts,Buffalo,3,34,2024-09-14
Coastal Carolina,Temple,28,20,2024-09-14
Texas A&M,Florida,33,20,2024-09-14
Prairie View A&M,Michigan State,0,40,2024-09-14
Nevada,Minnesota,0,27,2024-09-14
Washington State,Washington,24,19,2024-09-14
VMI,Georgia Tech,7,59,2024-09-14
West Virginia,Pittsburgh,34,38,2024-09-14
Morgan State,Ohio,6,21,2024-09-14
Troy,Iowa,21,38,2024-09-14
App State,East Carolina,21,19,2024-09-14
UAB,Arkansas,27,37,2024-09-14
UConn,Duke,21,26,2024-09-14
North Carolina Central,North Carolina,10,45,2024-09-14
Virginia Tech,Old Dominion,37,17,2024-09-14
UTEP,Liberty,10,28,2024-09-14
South Carolina State,Georgia Southern,14,42,2024-09-14
Colgate,Akron,20,31,2024-09-14
Gardner-Webb,Charlotte,26,27,2024-09-14
Bethune-Cookman,Western Michigan,31,59,2024-09-14
Vanderbilt,Georgia State,32,36,2024-09-14
Jacksonville State,Eastern Michigan,34,37,2024-09-14
Kennesaw State,San José State,10,31,2024-09-14
Western Kentucky,Middle Tennessee,49,21,2024-09-14
Hawai'i,Sam Houston,13,31,2024-09-14
South Florida,Southern Miss,49,24,2024-09-14
New Mexico,Auburn,19,45,2024-09-14
Toledo,Mississippi State,41,17,2024-09-14
Indiana,UCLA,42,13,2024-09-14
Air Force,Baylor,3,31,2024-09-14
Colorado,Colorado State,28,9,2024-09-14
UCF,TCU,35,34,2024-09-14
Eastern Illinois,Northwestern,7,31,2024-09-14
Florida International,Florida Atlantic,20,38,2024-09-14
Maryland,Virginia,27,13,2024-09-14
Rice,Houston,7,33,2024-09-14
BYU,Wyoming,34,14,2024-09-14
San Diego State,California,10,31,2024-09-14
New Mexico State,Fresno State,0,48,2024-09-14
South Alabama,App State,48,14,2024-09-19
Illinois,Nebraska,31,24,2024-09-20
Stanford,Syracuse,26,24,2024-09-20
San José State,Washington State,52,54,2024-09-20
UL Monroe,Texas,3,51,2024-09-21
Marshall,Ohio State,14,49,2024-09-21
Georgia Southern,Ole Miss,13,52,2024-09-21
Tennessee,Oklahoma,25,15,2024-09-21
Vanderbilt,Missouri,27,30,2024-09-21
Miami,South Florida,50,15,2024-09-21
Kent State,Penn State,0,56,2024-09-21
USC,Michigan,24,27,2024-09-21
Utah,Oklahoma State,22,19,2024-09-21
Kansas State,BYU,9,38,2024-09-21
UCLA,LSU,17,34,2024-09-21
Miami (OH),Notre Dame,3,28,2024-09-21
Georgia Tech,Louisville,19,31,2024-09-21
Arkansas State,Iowa State,7,52,2024-09-21
NC State,Clemson,35,59,2024-09-21
Buffalo,Northern Illinois,23,20,2024-09-21
Bowling Green,Texas A&M,20,26,2024-09-21
Florida,Mississippi State,45,28,2024-09-21
Charlotte,Indiana,14,52,2024-09-21
Villanova,Maryland,20,38,2024-09-21
James Madison,North Carolina,70,50,2024-09-21
Houston,Cincinnati,0,34,2024-09-21
Kansas,West Virginia,28,32,2024-09-21
Tulane,Louisiana,41,33,2024-09-21
Rice,Army,14,37,2024-09-21
Ohio,Kentucky,6,41,2024-09-21
Ball State,Central Michigan,34,37,2024-09-21
Virginia,Coastal Carolina,43,24,2024-09-21
Utah State,Temple,29,45,2024-09-21
St. Francis (PA),Eastern Michigan,0,36,2024-09-21
Southern Miss,Jacksonville State,7,44,2024-09-21
Eastern Washington,Nevada,16,49,2024-09-21
Arkansas,Auburn,24,14,2024-09-21
Rutgers,Virginia Tech,26,23,2024-09-21
Central Connecticut,Massachusetts,31,35,2024-09-21
Youngstown State,Pittsburgh,17,73,2024-09-21
Arizona State,Texas Tech,22,30,2024-09-21
Memphis,Navy,44,56,2024-09-21
Houston Christian,UTSA,7,45,2024-09-21
Duke,Middle Tennessee,45,17,2024-09-21
TCU,SMU,42,66,2024-09-21
UTEP,Colorado State,17,27,2024-09-21
Monmouth,Florida International,45,42,2024-09-21
East Carolina,Liberty,24,35,2024-09-21
Northwestern,Washington,5,24,2024-09-21
Florida Atlantic,UConn,14,48,2024-09-21
California,Florida State,9,14,2024-09-21
Florida A&M,Troy,12,34,2024-09-21
Tulsa,Louisiana Tech,23,20,2024-09-21
New Mexico State,Sam Houston,11,31,2024-09-21
Toledo,Western Kentucky,21,26,2024-09-21
Wyoming,North Texas,17,44,2024-09-21
Akron,South Carolina,7,50,2024-09-21
Iowa,Minnesota,31,14,2024-09-21
Michigan State,Boston College,19,23,2024-09-21
Baylor,Colorado,31,38,2024-09-21
Fresno State,New Mexico,38,21,2024-09-21
Purdue,Oregon State,21,38,2024-09-21
Portland State,Boise State,14,56,2024-09-21
Northern Iowa,Hawai'i,7,36,2024-09-21
Army,Temple,42,14,2024-09-26
Virginia Tech,Miami,34,38,2024-09-27
Washington,Rutgers,18,21,2024-09-27
Mississippi State,Texas,13,35,2024-09-28
Georgia,Alabama,34,41,2024-09-28
Ohio State,Michigan State,38,7,2024-09-28
Kentucky,Ole Miss,20,17,2024-09-28
Oregon,UCLA,34,13,2024-09-28
Illinois,Penn State,7,21,2024-09-28
Arizona,Utah,23,10,2024-09-28
Minnesota,Michigan,24,27,2024-09-28
Wisconsin,USC,21,38,2024-09-28
South Alabama,LSU,10,42,2024-09-28
Louisville,Notre Dame,24,31,2024-09-28
Stanford,Clemson,14,40,2024-09-28
Iowa State,Houston,20,0,2024-09-28
Oklahoma State,Kansas State,20,42,2024-09-28
Oklahoma,Auburn,27,21,2024-09-28
BYU,Baylor,34,28,2024-09-28
Arkansas,Texas A&M,17,21,2024-09-28
Washington State,Boise State,24,45,2024-09-28
Maryland,Indiana,28,42,2024-09-28
Nebraska,Purdue,28,10,2024-09-28
Buffalo,UConn,3,47,2024-09-28
Western Kentucky,Boston College,20,21,2024-09-28
Northern Illinois,NC State,17,24,2024-09-28
Holy Cross,Syracuse,14,42,2024-09-28
Navy,UAB,41,18,2024-09-28
South Florida,Tulane,10,45,2024-09-28
Ball State,James Madison,7,63,2024-09-28
Texas State,Sam Houston,39,40,2024-09-28
Massachusetts,Miami (OH),20,23,2024-09-28
Louisiana,Wake Forest,41,38,2024-09-28
TCU,Kansas,38,27,2024-09-28
Fresno State,UNLV,14,59,2024-09-28
San Diego State,Central Michigan,21,22,2024-09-28
Georgia Southern,Georgia State,38,21,2024-09-28
Western Michigan,Marshall,20,27,2024-09-28
Akron,Ohio,10,30,2024-09-28
Eastern Michigan,Kent State,52,33,2024-09-28
North Carolina,Duke,20,21,2024-09-28
UTSA,East Carolina,20,30,2024-09-28
Colorado,UCF,48,21,2024-09-28
Old Dominion,Bowling Green,30,27,2024-09-28
Louisiana Tech,Florida International,10,17,2024-09-28
UT Martin,Kennesaw State,24,13,2024-09-28
Wagner,Florida Atlantic,10,41,2024-09-28
UL Monroe,Troy,13,9,2024-09-28
Charlotte,Rice,21,20,2024-09-28
Tulsa,North Texas,20,52,2024-09-28
Middle Tennessee,Memphis,7,24,2024-09-28
Florida State,SMU,16,42,2024-09-28
Cincinnati,Texas Tech,41,44,2024-09-28
New Mexico,New Mexico State,50,40,2024-09-28
Air Force,Wyoming,19,31,2024-09-28
Liberty,App State,,,2024-09-28
Texas State,Troy,38,17,2024-10-03
Sam Houston,UTEP,41,21,2024-10-03
Michigan State,Oregon,10,31,2024-10-04
Syracuse,UNLV,44,41,2024-10-04
Jacksonville State,Kennesaw State,63,24,2024-10-04
Houston,TCU,30,19,2024-10-04
Alabama,Vanderbilt,35,40,2024-10-05
Iowa,Ohio State,7,35,2024-10-05
Tennessee,Arkansas,14,19,2024-10-05
Auburn,Georgia,13,31,2024-10-05
UCLA,Penn State,11,27,2024-10-05
Miami,California,39,38,2024-10-05
Missouri,Texas A&M,10,41,2024-10-05
Michigan,Washington,17,27,2024-10-05
USC,Minnesota,17,24,2024-10-05
Ole Miss,South Carolina,27,3,2024-10-05
Clemson,Florida State,29,13,2024-10-05
Baylor,Iowa State,21,43,2024-10-05
Utah State,Boise State,30,62,2024-10-05
SMU,Louisville,34,27,2024-10-05
Indiana,Northwestern,41,24,2024-10-05
Purdue,Wisconsin,6,52,2024-10-05
Massachusetts,Northern Illinois,20,34,2024-10-05
Boston College,Virginia,14,24,2024-10-05
Pittsburgh,North Carolina,34,24,2024-10-05
Wake Forest,NC State,34,30,2024-10-05
Navy,Air Force,34,7,2024-10-05
Army,Tulsa,49,7,2024-10-05
Tulane,UAB,71,20,2024-10-05
Western Michigan,Ball State,45,42,2024-10-05
Temple,UConn,20,29,2024-10-05
Virginia Tech,Stanford,31,7,2024-10-05
App State,Marshall,37,52,2024-10-05
Miami (OH),Toledo,20,30,2024-10-05
Bowling Green,Akron,27,20,2024-10-05
East Carolina,Charlotte,24,55,2024-10-05
Rutgers,Nebraska,7,14,2024-10-05
West Virginia,Oklahoma State,38,14,2024-10-05
Colorado State,Oregon State,31,39,2024-10-05
Old Dominion,Coastal Carolina,37,45,2024-10-05
South Alabama,Arkansas State,16,18,2024-10-05
James Madison,UL Monroe,19,21,2024-10-05
Louisiana,Southern Miss,23,13,2024-10-05
Nevada,San José State,31,35,2024-10-05
UCF,Florida,13,24,2024-10-05
Duke,Georgia Tech,14,24,2024-10-05
Kansas,Arizona State,31,35,2024-10-05
Hawai'i,San Diego State,24,27,2024-10-05
Texas Tech,Arizona,28,22,2024-10-05
Florida International,Liberty,24,31,2024-10-08
New Mexico State,Jacksonville State,13,54,2024-10-09
Coastal Carolina,James Madison,7,39,2024-10-10
Middle Tennessee,Louisiana Tech,21,48,2024-10-10
UTEP,Western Kentucky,17,44,2024-10-10
Utah,Arizona State,19,27,2024-10-11
Northwestern,Maryland,37,10,2024-10-11
UNLV,Utah State,50,34,2024-10-11
Texas,Oklahoma,34,3,2024-10-12
Ohio State,Oregon,31,32,2024-10-12
Penn State,USC,33,30,2024-10-12
Mississippi State,Georgia,31,41,2024-10-12
South Carolina,Alabama,25,27,2024-10-12
Florida,Tennessee,17,23,2024-10-12
Ole Miss,LSU,26,29,2024-10-12
Clemson,Wake Forest,49,14,2024-10-12
Stanford,Notre Dame,7,49,2024-10-12
Iowa State,West Virginia,28,16,2024-10-12
Arizona,BYU,19,41,2024-10-12
Boise State,Hawai'i,28,7,2024-10-12
Kansas State,Colorado,31,28,2024-10-12
Missouri,Massachusetts,45,3,2024-10-12
California,Pittsburgh,15,17,2024-10-12
Purdue,Illinois,49,50,2024-10-12
Washington,Iowa,16,40,2024-10-12
Wisconsin,Rutgers,42,7,2024-10-12
Georgia Tech,North Carolina,41,34,2024-10-12
Ball State,Kent State,37,35,2024-10-12
Toledo,Buffalo,15,30,2024-10-12
UAB,Army,10,44,2024-10-12
Miami (OH),Eastern Michigan,38,14,2024-10-12
Louisville,Virginia,24,20,2024-10-12
Cincinnati,UCF,19,13,2024-10-12
San José State,Colorado State,24,31,2024-10-12
San Diego State,Wyoming,27,24,2024-10-12
Old Dominion,Georgia State,21,14,2024-10-12
Akron,Western Michigan,24,34,2024-10-12
Northern Illinois,Bowling Green,17,7,2024-10-12
Memphis,South Florida,21,3,2024-10-12
Ohio,Central Michigan,27,25,2024-10-12
Southern Miss,UL Monroe,21,38,2024-10-12
Air Force,New Mexico,37,52,2024-10-12
Washington State,Fresno State,25,17,2024-10-12
Arkansas State,Texas State,9,41,2024-10-12
North Texas,Florida Atlantic,41,37,2024-10-12
UTSA,Rice,27,29,2024-10-12
Oregon State,Nevada,37,42,2024-10-12
App State,Louisiana,24,34,2024-10-12
Vanderbilt,Kentucky,20,13,2024-10-12
Syracuse,NC State,24,17,2024-10-12
Marshall,Georgia Southern,23,24,2024-10-12
Minnesota,UCLA,21,17,2024-10-12
Troy,South Alabama,9,25,2024-10-15
Kennesaw State,Middle Tennessee,5,14,2024-10-15
Louisiana Tech,New Mexico State,30,33,2024-10-15
Western Kentucky,Sam Houston,31,14,2024-10-16
Florida International,UTEP,21,30,2024-10-16
Georgia State,Marshall,20,35,2024-10-17
Boston College,Virginia Tech,21,42,2024-10-17
Oregon,Purdue,35,0,2024-10-18
Oklahoma State,BYU,35,38,2024-10-18
Florida State,Duke,16,23,2024-10-18
Fresno State,Nevada,24,21,2024-10-18
Georgia,Texas,30,15,2024-10-19
Miami,Louisville,52,45,2024-10-19
Alabama,Tennessee,17,24,2024-10-19
LSU,Arkansas,34,10,2024-10-19
UCF,Iowa State,35,38,2024-10-19
Virginia,Clemson,31,48,2024-10-19
Notre Dame,Georgia Tech,31,13,2024-10-19
Texas A&M,Mississippi State,34,24,2024-10-19
Nebraska,Indiana,7,56,2024-10-19
Kansas State,West Virginia,45,18,2024-10-19
Auburn,Missouri,17,21,2024-10-19
SMU,Stanford,40,10,2024-10-19
Michigan,Illinois,7,21,2024-10-19
East Carolina,Army,28,45,2024-10-19
Charlotte,Navy,17,51,2024-10-19
Wisconsin,Northwestern,23,3,2024-10-19
UCLA,Rutgers,35,32,2024-10-19
Wake Forest,UConn,23,20,2024-10-19
Arizona State,Cincinnati,14,24,2024-10-19
Louisiana,Coastal Carolina,34,24,2024-10-19
South Carolina,Oklahoma,35,9,2024-10-19
Central Michigan,Eastern Michigan,34,38,2024-10-19
Tulsa,Temple,10,20,2024-10-19
NC State,California,24,23,2024-10-19
Houston,Kansas,14,42,2024-10-19
Hawai'i,Washington State,10,42,2024-10-19
Texas State,Old Dominion,14,24,2024-10-19
Ohio,Miami (OH),20,30,2024-10-19
Kent State,Bowling Green,6,27,2024-10-19
Western Michigan,Buffalo,48,41,2024-10-19
Toledo,Northern Illinois,13,6,2024-10-19
UAB,South Florida,25,35,2024-10-19
Florida Atlantic,UTSA,24,38,2024-10-19
Rice,Tulane,10,24,2024-10-19
USC,Maryland,28,29,2024-10-19
Colorado,Arizona,34,7,2024-10-19
Baylor,Texas Tech,59,35,2024-10-19
New Mexico,Utah State,50,45,2024-10-19
Wyoming,San José State,14,24,2024-10-19
James Madison,Georgia Southern,14,28,2024-10-19
Ball State,Vanderbilt,14,24,2024-10-19
Arkansas State,Southern Miss,44,28,2024-10-19
Iowa,Michigan State,20,32,2024-10-19
North Texas,Memphis,44,52,2024-10-19
Kentucky,Florida,20,48,2024-10-19
Colorado State,Air Force,21,13,2024-10-19
UNLV,Oregon State,33,25,2024-10-19
TCU,Utah,13,7,2024-10-19
Sam Houston,Florida International,10,7,2024-10-22
UTEP,Louisiana Tech,10,14,2024-10-22
Liberty,Kennesaw State,24,27,2024-10-23
Middle Tennessee,Jacksonville State,20,42,2024-10-23
Syracuse,Pittsburgh,13,41,2024-10-24
Georgia Southern,Old Dominion,19,47,2024-10-24
Boise State,UNLV,29,24,2024-10-25
Louisville,Boston College,31,27,2024-10-25
Rutgers,USC,20,42,2024-10-25
Illinois,Oregon,9,38,2024-10-26
Penn State,Wisconsin,28,13,2024-10-26
Nebraska,Ohio State,17,21,2024-10-26
Texas,Vanderbilt,27,24,2024-10-26
Florida State,Miami,14,36,2024-10-26
LSU,Texas A&M,23,38,2024-10-26
BYU,UCF,37,24,2024-10-26
Notre Dame,Navy,51,14,2024-10-26
Washington,Indiana,17,31,2024-10-26
Missouri,Alabama,0,34,2024-10-26
Kansas,Kansas State,27,29,2024-10-26
Oklahoma,Ole Miss,14,26,2024-10-26
SMU,Duke,28,27,2024-10-26
Georgia Tech,Virginia Tech,6,21,2024-10-26
North Carolina,Virginia,41,14,2024-10-26
Buffalo,Ohio,16,47,2024-10-26
Charlotte,Memphis,28,33,2024-10-26
Tulane,North Texas,45,37,2024-10-26
Arkansas,Mississippi State,58,25,2024-10-26
Georgia State,App State,26,33,2024-10-26
Central Michigan,Miami (OH),7,46,2024-10-26
Temple,East Carolina,34,56,2024-10-26
Northwestern,Iowa,14,40,2024-10-26
Maryland,Minnesota,23,48,2024-10-26
Rice,UConn,10,17,2024-10-26
Wake Forest,Stanford,27,24,2024-10-26
Oklahoma State,Baylor,28,38,2024-10-26
Texas Tech,TCU,34,35,2024-10-26
Southern Miss,James Madison,15,32,2024-10-26
Eastern Michigan,Akron,21,25,2024-10-26
Northern Illinois,Ball State,23,25,2024-10-26
Bowling Green,Toledo,41,26,2024-10-26
Kent State,Western Michigan,21,52,2024-10-26
Wagner,Massachusetts,7,35,2024-10-26
UTSA,Tulsa,45,46,2024-10-26
Oregon State,California,7,44,2024-10-26
New Mexico,Colorado State,6,17,2024-10-26
UL Monroe,South Alabama,17,46,2024-10-26
West Virginia,Arizona,31,26,2024-10-26
Utah,Houston,14,17,2024-10-26
Utah State,Wyoming,27,25,2024-10-26
Troy,Arkansas State,31,34,2024-10-26
Michigan State,Michigan,17,24,2024-10-26
Auburn,Kentucky,24,10,2024-10-26
San José State,Fresno State,10,33,2024-10-26
Cincinnati,Colorado,23,34,2024-10-26
Washington State,San Diego State,29,26,2024-10-26
Nevada,Hawai'i,13,34,2024-10-26
New Mexico State,Florida International,13,34,2024-10-29
Louisiana,Texas State,23,17,2024-10-29
Louisiana Tech,Sam Houston,3,9,2024-10-29
Jacksonville State,Liberty,31,21,2024-10-30
Kennesaw State,Western Kentucky,14,31,2024-10-30
Tulane,Charlotte,34,3,2024-10-31
San Diego State,Boise State,24,56,2024-11-01
Georgia State,UConn,27,34,2024-11-01
South Florida,Florida Atlantic,44,21,2024-11-01
Oregon,Michigan,38,17,2024-11-02
Florida,Georgia,20,34,2024-11-02
Ohio State,Penn State,20,13,2024-11-02
Duke,Miami,31,53,2024-11-02
Kentucky,Tennessee,18,28,2024-11-02
Texas A&M,South Carolina,20,44,2024-11-02
Texas Tech,Iowa State,23,22,2024-11-02
Louisville,Clemson,33,21,2024-11-02
Indiana,Michigan State,47,10,2024-11-02
Kansas State,Houston,19,24,2024-11-02
Pittsburgh,SMU,25,48,2024-11-02
Ole Miss,Arkansas,63,31,2024-11-02
Air Force,Army,3,20,2024-11-02
Minnesota,Illinois,25,17,2024-11-02
Maine,Oklahoma,14,59,2024-11-02
Northwestern,Purdue,26,20,2024-11-02
Stanford,NC State,28,59,2024-11-02
Virginia Tech,Syracuse,31,38,2024-11-02
Buffalo,Akron,41,30,2024-11-02
Toledo,Eastern Michigan,29,28,2024-11-02
Memphis,UTSA,36,44,2024-11-02
Vanderbilt,Auburn,17,7,2024-11-02
Old Dominion,App State,20,28,2024-11-02
Tulsa,UAB,21,59,2024-11-02
UCLA,Nebraska,27,20,2024-11-02
North Carolina,Florida State,35,11,2024-11-02
Arizona State,Oklahoma State,42,21,2024-11-02
Arizona,UCF,12,56,2024-11-02
Middle Tennessee,UTEP,20,13,2024-11-02
UL Monroe,Marshall,23,28,2024-11-02
Wyoming,New Mexico,49,45,2024-11-02
Coastal Carolina,Troy,24,38,2024-11-02
